CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBbpv,AAmz_BBdhv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt,AAcy_BBbsz
CChpx,DDcwz,18.94,80.01,-47.07,-96.39,-20.86,-6.89,61.93,-71.01,-1.32
,DDmx,16.61,77.79,-50.14,-99.27,-26.89,37.94,59.72,-74.22,-7.17
,DDdlz,9.09,73.66,-55.86,99.78,-26.01,35.25,56.34,-79.37,-11.61
,DDcmp,8.77,69.46,-66.06,94.49,-30.45,30.34,51.83,-81.09,-22.06
,DDlmr,4.45,66.02,-67.84,89.83,-41.55,23.75,50.53,-89.73,-17.56
CCbt,DDbmz,9.17,70.63,-64.14,92.56,-29.76,33.05,53.93,-80.43,-14.45
,DDcwz,4.39,64.69,-66.95,92.11,-39.00,22.15,51.33,-84.60,-20.49
,DDmx,-0.95,64.50,-70.47,81.88,-48.38,21.12,48.67,-97.67,-22.05
,DDmpy,12.62,75.66,-54.12,0.68,-25.55,36.16,57.18,-80.36,-11.75
,DDkrs,18.95,78.52,-51.36,-99.72,-22.22,39.30,61.95,-75.41,-6.82
CCfnw,DDqz,7.95,59.11,-64.89,93.26,-35.31,23.57,52.98,-82.92,-16.04
,DDlmr,18.05,75.37,-48.05,-97.83,-21.01,40.30,62.69,-72.28,-11.52
,DDgv,9.67,68.50,-56.15,98.41,-28.35,34.14,55.32,-80.37,-11.56
,DDknr,14.33,76.80,-51.37,-5.12,-24.53,37.46,59.61,-75.88,-8.88
,DDkrs,0.48,65.79,-67.58,-8.06,-42.00,22.94,49.43,-89.28,-20.15
Average,,10.17,71.10,-58.80,22.44,-30.79,28.71,55.56,-80.97,-13.56
