AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,636.58
AApqr,BBnqx,CCbt,DDcy,EEbkv,136.93
AApqr,BBnqx,CCbt,DDcjx,EEkqy,10.35
AApqr,BBnqx,CCbt,DDmx,EEqz,910.06
AApqr,BBnqx,CCbt,DDcy,EEcrv,16.88
AApqr,BBnqx,CCbt,DDcjx,EEdhv,662.4
AApqr,BBnqx,CCbt,DDmx,EEbhk,411.13
AApqr,BBnqx,CCbt,DDcy,EEmpy,798.38
AApqr,BBnqx,CCbt,DDcjx,EEmz,291.44
AApqr,BBfnw,CCbt,DDmx,EEmz,293.43
AApqr,BBfnw,CCbt,DDcy,EEbkv,167.16
AApqr,BBfnw,CCbt,DDcjx,EEkqy,295.27
AApqr,BBfnw,CCbt,DDmx,EEqz,301.01
AApqr,BBfnw,CCbt,DDcy,EEcrv,815.69
AApqr,BBfnw,CCbt,DDcjx,EEdhv,560.82
AApqr,BBfnw,CCbt,DDmx,EEbhk,945.13
AApqr,BBfnw,CCbt,DDcy,EEmpy,50.0
AApqr,BBfnw,CCbt,DDcjx,EEmz,435.48
AApqr,BBlmr,CCbt,DDmx,EEmz,438.53
AApqr,BBlmr,CCbt,DDcy,EEbkv,439.95
AApqr,BBlmr,CCbt,DDcjx,EEkqy,698.78
AApqr,BBlmr,CCbt,DDmx,EEqz,700.6
AApqr,BBlmr,CCbt,DDcy,EEcrv,449.31
AApqr,BBlmr,CCbt,DDcjx,EEdhv,451.61
AApqr,BBlmr,CCbt,DDmx,EEbhk,966.01
AApqr,BBlmr,CCbt,DDcy,EEmpy,711.5
AApqr,BBlmr,CCbt,DDcjx,EEmz,75.78
AApqr,BBnqx,CCbt,DDmx,EEmz,844.42
AApqr,BBnqx,CCbt,DDcy,EEbkv,462.36
AApqr,BBnqx,CCbt,DDcjx,EEkqy,846.27
AApqr,BBnqx,CCbt,DDmx,EEqz,334.77
AApqr,BBnqx,CCbt,DDcy,EEcrv,722.57
AApqr,BBnqx,CCbt,DDcjx,EEdhv,468.3
AApqr,BBnqx,CCbt,DDmx,EEbhk,213.4
AApqr,BBnqx,CCbt,DDcy,EEmpy,853.14
AApqr,BBnqx,CCbt,DDcjx,EEmz,727.36
AApqr,BBfnw,CCbt,DDmx,EEmz,601.76
AApqr,BBfnw,CCbt,DDcy,EEbkv,346.23
AApqr,BBfnw,CCbt,DDcjx,EEkqy,860.94
AApqr,BBfnw,CCbt,DDmx,EEqz,605.07
AApqr,BBfnw,CCbt,DDcy,EEcrv,871.43
AApqr,BBfnw,CCbt,DDcjx,EEdhv,884.72
AApqr,BBfnw,CCbt,DDmx,EEbhk,757.0
AApqr,BBfnw,CCbt,DDcy,EEmpy,505.86
AApqr,BBfnw,CCbt,DDcjx,EEmz,124.48
