AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,148.0
AAdk,BBtw,CCst,DDnw,277.18
AAdk,BBtw,CChv,DDrz,150.29
AAdk,BBtw,CCst,DDcl,21.47
AAdk,BBtw,CChv,DDlp,429.49
AAdk,BBtw,CCst,DDnt,816.1
AAdk,BBrv,CChv,DDnt,433.84
AAdk,BBrv,CCst,DDnw,698.82
AAdk,BBrv,CChv,DDrz,583.24
AAdk,BBrv,CCst,DDcl,328.81
AAdk,BBrv,CChv,DDlp,711.32
AAdk,BBrv,CCst,DDnt,86.99
AAdk,BBmn,CChv,DDnt,473.6
AAdk,BBmn,CCst,DDnw,991.05
AAdk,BBmn,CChv,DDrz,609.91
AAdk,BBmn,CCst,DDcl,866.9
AAdk,BBmn,CChv,DDlp,356.49
AAdk,BBmn,CCst,DDnt,231.02
AAdk,BBtw,CChv,DDnt,371.84
AAdk,BBtw,CCst,DDnw,629.47
AAdk,BBtw,CChv,DDrz,758.49
AAdk,BBtw,CCst,DDcl,380.99
AAdk,BBtw,CChv,DDlp,508.98
AAdk,BBtw,CCst,DDnt,126.37
