DD,EE,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBbwx_CCbt,Average
DDcy,,83.43,11.87,-64.18,-31.35,-45.86,28.44,-77.97,56.88,-19.59,-6.48
,  EEmz,84.59,18.86,-59.65,-91.90,-37.81,38.07,-74.76,71.39,-7.93,-6.57
,  EEbkv,79.23,2.89,-69.41,97.31,-55.06,20.56,-81.73,45.55,-31.03,0.92
,  EEcrv,86.48,13.86,-63.49,-99.46,-44.72,26.68,-77.42,53.69,-19.82,-13.80
DDcjx,,87.77,12.02,-64.33,-28.95,-43.67,30.40,-75.44,60.11,-15.39,-4.16
,  EEkqy,84.73,2.95,-70.36,97.62,-54.36,22.66,-79.87,51.05,-22.36,3.56
,  EEbkv,90.88,18.75,-60.92,-86.00,-34.87,37.76,-71.24,71.73,-2.85,-4.08
,  EEdhv,87.69,14.37,-61.72,-98.46,-41.77,30.77,-75.21,57.56,-20.96,-11.97
DDmx,,82.24,7.82,-66.84,-2.65,-50.44,27.47,-79.13,54.34,-22.44,-5.51
,  EEmz,74.70,2.13,-70.74,87.87,-58.93,20.73,-83.25,43.75,-34.17,-1.99
,  EEbhk,86.47,17.56,-60.12,-94.96,-38.78,37.72,-75.66,66.27,-12.36,-8.21
,  EEqz,85.56,3.77,-69.67,-0.85,-53.60,23.97,-78.49,53.00,-20.80,-6.35
