CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AAfnw_BBgv,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,Minimum,EE,FF
CCbt,,52.65,16.47,75.63,2.69,39.78,60.85,2.69,,
,  DDcwz,54.59,23.69,87.44,6.44,43.72,68.12,6.44,EEmz,FFgqt
,  DDmx,52.65,16.47,75.63,2.69,39.78,60.85,2.69,EEmz,FFgqt
,  DDbmz,54.50,30.90,92.85,7.21,46.99,70.56,7.21,EEmz,FFgqt
CCcy,,52.40,21.82,87.35,5.09,42.92,63.93,5.09,,
,  DDhpt,54.71,30.47,90.77,7.08,43.80,68.44,7.08,EEhpx,FFlmr
,  DDmx,58.83,35.85,99.19,14.34,49.57,73.50,14.34,EEhpx,FFlmr
,  DDbkv,52.40,21.82,87.35,5.09,42.92,63.93,5.09,EEhpx,FFlmr
Minimum,,52.40,16.47,75.63,2.69,39.78,60.85,2.69,,
,  ,52.40,16.47,75.63,2.69,39.78,60.85,2.69,,
