DD,EE,AArv_BBst_CCnw,AArv_BBsy_CCnw,AAdk_BBhz_CChv,AAdk_BBrz_CChv,AAdk_BBtw_CChv
Average,,-23.06,14.47,-4.45,-14.55,21.45
,  ,-23.06,14.47,-4.45,-14.55,21.45
DDtv,,-22.57,15.95,13.15,-13.15,23.40
,  EEmn,38.42,-65.30,99.02,-82.99,3.54
,  EEdn,45.03,94.69,-2.17,-68.28,36.26
,  EElp,-87.96,-51.67,-29.97,46.25,25.48
,  EEhr,-85.78,86.07,-14.27,52.41,28.32
DDnt,,-23.55,12.99,-22.05,-15.95,19.49
,  EEdn,36.58,63.11,-33.26,46.23,0.28
,  EEfx,-86.85,-51.21,-16.26,42.83,28.22
,  EEhl,44.12,-36.67,-9.81,-72.75,34.06
,  EEfh,-88.06,76.73,-28.88,-80.13,15.40
