CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,EE,FF
Minimum,,65.54,19.06,2.84,43.76,84.93,,
,  ,65.54,19.06,2.84,43.76,84.93,,
CCkqy,,69.03,26.22,7.88,48.15,90.45,,
,  DDbsz,74.04,33.92,11.91,55.46,93.60,EEhpx,FFbpv
,  DDbkv,81.48,40.92,17.52,59.03,96.56,EEmz,FFbpv
,  DDcwz,69.03,26.22,7.88,48.15,90.45,EEmz,FFbpv
CCcy,,69.17,22.47,2.90,43.79,86.65,,
,  DDmx,81.36,39.17,13.71,57.82,95.00,EEhpx,FFlmr
,  DDbkv,69.17,22.47,2.90,43.79,86.65,EEhpx,FFlmr
,  DDbmz,73.61,31.78,10.87,55.34,90.24,EEmz,FFlmr
CCbt,,65.54,19.06,2.84,43.76,84.93,,
,  DDmpy,73.21,35.72,13.45,57.20,94.11,EEmz,FFgqt
,  DDhpt,70.87,27.97,8.40,52.59,91.53,EEhpx,FFgqt
,  DDmx,65.54,19.06,2.84,43.76,84.93,EEmz,FFgqt
