DD,EE,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt
DDmx,EEqz,-51.06,25.72,50.33,89.72,3.39,-18.73,-65.10
,EEbhk,-46.63,35.52,-73.11,97.80,7.54,-14.07,64.01
,EEmz,-59.97,15.64,-86.70,-41.00,-0.90,-27.20,-69.68
DDcjx,EEdhv,77.22,-94.44,-76.41,95.38,7.93,-14.50,65.61
,EEkqy,-56.50,19.46,48.10,89.20,1.30,-24.65,-66.26
,EEmz,86.07,39.95,-69.18,98.57,7.39,-7.49,63.44
DDcy,EEcrv,78.71,32.09,50.09,-36.78,6.07,-16.38,64.81
,EEbkv,71.11,16.03,42.18,86.32,1.59,-26.13,61.07
,EEmpy,-9.48,38.81,56.43,98.17,9.50,-9.97,60.30
Average,,9.94,14.31,-6.47,64.15,4.87,-17.68,19.80
