Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,354.92
AAdk,BBtw,CCst,DDnw,931.21
AAdk,BBtw,CChv,DDrz,711.27
AAdk,BBtw,CCst,DDcl,971.78
AAdk,BBtw,CChv,DDlp,525.63
AAdk,BBtw,CCst,DDnt,560.88
AAdk,BBrv,CChv,DDnt,177.35
AAdk,BBrv,CCst,DDnw,592.1
AAdk,BBrv,CChv,DDrz,211.04
AAdk,BBrv,CCst,DDcl,977.43
AAdk,BBrv,CChv,DDlp,53.84
AAdk,BBrv,CCst,DDnt,214.41
AAdk,BBtw,CChv,DDnt,631.33
AAdk,BBtw,CCst,DDnw,184.53
AAdk,BBtw,CChv,DDrz,377.79
AAdk,BBtw,CCst,DDcl,88.47
AAdk,BBtw,CChv,DDlp,311.17
AAdk,BBtw,CCst,DDnt,926.58
