CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,Minimum,EE,FF
CCkqy,,63.51,19.38,83.16,29.89,6.71,49.75,92.04,6.71,,
,  DDbkv,74.41,24.80,89.36,42.74,12.00,59.01,95.03,12.00,EEmz,FFgqt
,  DDbsz,63.71,22.89,85.26,40.38,10.67,55.40,92.74,10.67,EEhpx,FFlmr
,  DDcwz,63.51,19.38,83.16,29.89,6.71,49.75,92.04,6.71,EEmz,FFbpv
CCbt,,59.27,14.35,80.08,27.53,3.05,45.51,88.49,3.05,,
,  DDmpy,68.71,23.08,87.69,41.79,11.41,56.66,88.49,11.41,EEmz,FFbpv
,  DDmx,59.27,14.35,80.08,27.53,3.05,45.51,90.18,3.05,EEmz,FFgqt
,  DDhpt,64.06,20.24,84.37,28.66,7.38,49.38,92.94,7.38,EEhpx,FFcmp
CCcy,,60.74,14.43,82.43,28.42,5.24,48.30,91.20,5.24,,
,  DDbkv,60.74,14.43,82.43,28.42,5.24,48.30,91.20,5.24,EEhpx,FFlmr
,  DDbmz,65.85,19.75,85.12,35.65,8.20,52.51,94.32,8.20,EEmz,FFgqt
,  DDmx,68.60,24.70,88.15,42.54,12.49,58.75,97.22,12.49,EEhpx,FFcmp
Minimum,,59.27,14.35,80.08,27.53,3.05,45.51,88.49,3.05,,
,  ,59.27,14.35,80.08,27.53,3.05,45.51,88.49,3.05,,
