AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,128.51
AAdk,BBtw,CChv,DDtv,EEmn,651.96
AAdk,BBtw,CChv,DDnt,EEfh,140.81
AAdk,BBtw,CChv,DDtv,EElp,526.37
AAdk,BBtw,CChv,DDnt,EEfx,784.75
AAdk,BBtw,CChv,DDtv,EEdn,912.67
AAdk,BBst,CChv,DDnt,EEdn,787.76
AAdk,BBst,CChv,DDtv,EEmn,284.43
AAdk,BBst,CChv,DDnt,EEfh,544.54
AAdk,BBst,CChv,DDtv,EElp,165.76
AAdk,BBst,CChv,DDnt,EEfx,683.18
AAdk,BBst,CChv,DDtv,EEdn,171.67
AAdk,BBtw,CChv,DDnt,EEdn,52.69
AAdk,BBtw,CChv,DDtv,EEmn,697.73
AAdk,BBtw,CChv,DDnt,EEfh,448.8
AAdk,BBtw,CChv,DDtv,EElp,580.06
AAdk,BBtw,CChv,DDnt,EEfx,838.99
AAdk,BBtw,CChv,DDtv,EEdn,200.33
AAdk,BBst,CChv,DDnt,EEdn,971.36
AAdk,BBst,CChv,DDtv,EEmn,721.44
AAdk,BBst,CChv,DDnt,EEfh,338.04
AAdk,BBst,CChv,DDtv,EElp,234.2
AAdk,BBst,CChv,DDnt,EEfx,363.81
AAdk,BBst,CChv,DDtv,EEdn,119.54
