CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
Minimum,,60.10,24.16,39.75,77.82,3.09,13.04,49.45,,
,  ,60.10,24.16,39.75,77.82,3.09,13.04,49.45,,
CCcy,,64.54,29.77,40.13,81.97,4.01,14.27,50.05,,
,  DDbmz,67.67,32.18,44.07,87.91,7.64,18.89,57.56,EEmz,FFgqt
,  DDmx,78.95,36.38,47.22,92.88,10.23,21.89,60.30,EEmz,FFlmr
,  DDbkv,64.54,29.77,40.13,81.97,4.01,14.27,50.05,EEmz,FFlmr
CCkqy,,65.18,29.94,41.71,85.42,4.47,13.28,51.74,,
,  DDcwz,65.18,29.94,41.71,85.42,4.47,13.28,51.74,EEmz,FFgqt
,  DDbkv,79.20,36.34,48.64,96.84,12.90,23.85,61.37,EEmz,FFgqt
,  DDbsz,68.40,34.83,45.89,90.90,8.56,18.29,59.25,EEmz,FFlmr
CCbt,,60.10,24.16,39.75,77.82,3.09,13.04,49.45,,
,  DDhpt,66.08,32.16,43.79,87.44,3.09,17.96,53.15,EEmz,FFlmr
,  DDmpy,77.72,33.46,46.75,92.03,4.27,19.53,59.40,EEmz,FFgqt
,  DDmx,60.10,24.16,39.75,77.82,3.97,13.04,49.45,EEmz,FFgqt
