CC,DD,AAdn_BBpw,AAdn_BBrv,AAdk_BBdl,AAdk_BBmn,AAdk_BBtw
CChv,,49.13,-88.28,6.52,28.47,12.83
,  DDlp,82.61,-84.66,-28.59,63.83,15.89
,  DDhm,87.66,-78.35,-4.32,-56.46,20.09
,  DDnt,76.05,-99.62,-39.58,52.02,1.92
,  DDrz,-49.79,-90.50,98.55,54.48,13.41
CCst,,18.45,-53.56,-23.23,32.62,17.49
,  DDnw,77.81,-96.48,-38.38,53.35,5.83
,  DDnt,-41.41,51.61,-1.08,-54.43,28.50
,  DDcl,-49.45,-88.04,-29.42,61.17,15.19
,  DDcs,86.83,-81.32,-24.04,70.37,20.44
Average,,33.79,-70.92,-8.36,30.54,15.16
,  ,33.79,-70.92,-8.36,30.54,15.16
