DD,EE,AAdk_BBrz_CCdt,AAdk_BBhz_CChv,AAdk_BBtw_CChv,AArv_BBst_CCnw,AArv_BBsy_CCdl,Average
DDtv,,-40.01,-21.88,14.89,-21.98,9.86,-11.82
,  EEhr,-71.51,-13.43,15.14,46.07,73.55,9.96
,  EEmn,-76.66,-38.12,0.49,-94.19,-61.98,-54.09
,  EElp,-74.81,-27.98,11.05,-88.55,-58.22,-47.70
,  EEkz,62.96,-7.99,32.87,48.76,86.09,44.54
DDnt,,23.24,6.07,10.30,-57.20,6.34,-2.25
,  EEdn,49.70,90.18,-0.91,-95.46,-63.26,-3.95
,  EEfh,54.36,-27.74,10.20,-93.89,69.10,2.41
,  EEfx,56.49,-25.90,14.23,41.80,71.84,31.69
,  EEhl,-67.58,-12.27,17.70,-81.23,-52.32,-39.14
