CC,DD,AAdn_BBpw,AAdn_BBrv,AAdk_BBmn,AAdk_BBdl,AAdk_BBtw
CChv,,-3.71,-32.21,19.22,17.68,21.77
,  DDhm,-40.83,85.08,68.65,-4.08,28.19
,  DDcl,86.12,-88.99,65.39,96.00,26.45
,  DDnt,-56.43,-92.73,-76.38,-38.88,10.67
CCbx,,87.78,-42.35,23.22,-20.14,27.76
,  DDrz,85.50,-89.24,-69.26,-34.15,25.06
,  DDcs,87.63,43.95,69.83,-22.16,28.25
,  DDnt,90.21,-81.75,69.10,-4.11,29.98
CCst,,44.52,-86.68,-66.01,-22.30,-16.27
,  DDlp,87.68,-85.58,-60.87,-24.86,27.70
,  DDdf,-38.60,-82.97,-60.48,-6.23,-99.02
,  DDnw,84.49,-91.48,-76.68,-35.81,22.51
Average,,42.86,-53.75,-7.86,-8.25,11.09
,  ,42.86,-53.75,-7.86,-8.25,11.09
