DD,EE,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBbwx_CCbt,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,Average
DDmx,,17.85,3.15,-17.04,-25.58,-24.76,-14.97,-0.64,-2.70,-4.93,-7.74
,  EEbhk,-41.30,9.34,53.22,39.28,-55.27,-6.37,99.64,-93.21,-65.63,-6.70
,  EEkqy,79.20,-0.94,40.17,39.63,-56.63,-15.75,-35.34,26.10,57.96,14.93
,  EEcrv,-45.54,3.28,-77.88,-90.06,74.26,-10.55,-31.76,30.91,60.59,-9.64
,  EEmz,79.03,0.92,-83.69,-91.15,-61.40,-27.21,-35.10,25.39,-72.66,-29.54
DDcy,,-12.85,9.25,-45.53,-23.44,9.78,-11.74,0.43,31.20,-56.44,-11.04
,  EEqz,-49.45,3.77,-79.64,40.93,-55.62,-15.87,96.69,29.54,-1.37,-3.45
,  EEbkv,-48.47,1.33,46.91,-91.88,71.49,-22.26,-35.49,26.36,-91.59,-15.96
,  EEdhv,87.75,7.83,-75.60,-87.57,73.89,-7.48,-30.90,32.55,-68.74,-7.59
,  EEmz,-41.23,24.09,-73.79,44.75,-50.64,-1.34,-28.58,36.34,-64.07,-17.16
Average,,2.50,6.20,-31.29,-24.51,-7.49,-13.35,-0.11,14.25,-30.69,-9.39
,  ,2.50,6.20,-31.29,-24.51,-7.49,-13.35,-0.11,14.25,-30.69,-9.39
