DD,EE,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,AAgqt_BBfnw_CCbpv,AAgqt_BBfnw_CCkrs
DDcjx,,25.00,8.61,24.52,25.57,18.67
,  EEdhv,25.00,7.93,20.94,25.57,16.29
,  EEmz,20.81,8.61,24.52,16.85,18.67
,  EEkqy,22.85,3.59,17.28,24.70,11.21
DDcy,,27.63,9.07,20.36,27.94,15.47
,  EEcrv,24.05,6.95,7.03,27.10,15.47
,  EEbkv,20.49,3.56,17.23,27.94,11.93
,  EEmpy,27.63,9.07,20.36,11.18,15.36
DDmx,,25.65,6.72,7.69,26.24,16.79
,  EEqz,19.67,4.63,5.53,25.28,12.99
,  EEmz,20.67,2.18,4.03,21.93,11.67
,  EEbhk,25.65,6.72,7.69,26.24,16.79
Maximum,,27.63,9.07,24.52,27.94,18.67
,  ,27.63,9.07,24.52,27.94,18.67
