CC,DD,AAdk_BBpw,AAdk_BBqx,AAdk_BBtw,AAdn_BBrv,AAdn_BBdl,AAtv_BBmn,AAtv_BBhz,Minimum
CChv,,41.17,85.79,3.69,18.65,55.83,30.90,69.88,3.69
,  DDrz,46.82,92.31,11.77,23.85,58.27,31.32,73.43,11.77
,  DDnt,41.17,85.79,3.69,18.65,55.83,30.90,69.88,3.69
,  DDlp,48.35,96.16,16.65,27.14,65.33,37.90,83.63,16.65
CCst,,44.40,90.84,5.44,21.85,55.64,30.40,71.08,5.44
,  DDcl,47.29,95.50,14.99,25.92,62.68,30.40,75.41,14.99
,  DDnw,44.40,90.84,5.44,21.85,55.64,31.43,71.08,5.44
,  DDcs,48.95,97.93,17.03,27.53,67.28,39.44,84.66,17.03
Minimum,,41.17,85.79,3.69,18.65,55.64,30.40,69.88,3.69
,  ,41.17,85.79,3.69,18.65,55.64,30.40,69.88,3.69
