DD,EE,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBbwx_CCbt,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt
DDcjx,,-26.89,32.26,-87.26,-64.68,55.87,-12.51,52.19,-49.17,16.46
,  EEmz,-22.82,35.31,-79.16,-60.27,67.72,-5.77,-8.77,-46.60,25.10
,  EEkqy,-32.01,29.41,-94.73,-69.07,41.84,-17.04,75.75,-50.48,8.49
,  EEdhv,-25.84,32.06,-87.90,-64.70,58.06,-14.71,89.60,-50.42,15.80
DDmx,,-32.04,30.04,-92.58,-69.20,47.06,-15.92,79.57,-50.85,13.39
,  EEqz,-32.04,30.65,-94.65,-69.43,40.07,-15.08,78.14,-50.18,11.02
,  EEmz,-39.84,25.09,-98.02,-73.79,39.94,-22.56,68.65,-55.89,7.08
,  EEbhk,-24.23,34.38,-85.07,-64.37,61.18,-10.11,91.91,-46.47,22.07
DDcy,,-28.66,30.59,-89.46,-67.55,49.39,-14.31,81.36,-48.28,16.08
,  EEbkv,-34.37,27.56,-96.60,-72.82,40.35,-18.87,69.64,-51.28,8.40
,  EEmpy,-24.66,34.96,-84.56,-61.59,64.62,-8.59,96.12,-45.07,24.07
,  EEcrv,-26.94,29.24,-87.22,-68.23,43.19,-15.46,78.32,-48.49,15.76
Average,,-29.19,30.96,-89.77,-67.14,50.77,-14.24,71.04,-49.43,15.31
,  ,-29.19,30.96,-89.77,-67.14,50.77,-14.24,71.04,-49.43,15.31
