DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx
Maximum,,10.27,16.54,25.34,6.61,20.10,27.88,14.42,25.82
,  ,10.27,16.54,25.34,6.61,20.10,27.88,14.42,25.82
DDcjx,,10.27,16.54,25.34,6.35,20.10,27.88,14.42,24.22
,  EEkqy,8.26,9.71,22.43,2.52,15.85,26.01,11.52,20.53
,  EEmz,10.27,16.54,25.34,6.35,20.10,27.88,14.42,24.22
,  EEdhv,9.48,14.96,1.91,3.56,1.80,26.63,12.26,18.57
DDmx,,9.90,14.99,23.96,6.61,15.75,27.75,12.20,24.52
,  EEmz,0.75,9.69,21.26,0.45,14.31,27.75,10.70,18.24
,  EEqz,9.25,12.79,23.96,3.92,15.75,27.61,11.90,21.47
,  EEbhk,9.90,14.99,23.17,6.61,4.05,26.35,12.20,24.52
DDcy,,9.67,16.37,24.56,4.92,19.64,26.77,13.70,25.82
,  EEbkv,8.64,10.07,2.82,1.56,0.60,26.77,11.61,11.92
,  EEmpy,9.67,16.37,24.56,1.69,19.64,26.60,13.70,25.82
,  EEcrv,9.30,13.33,23.45,4.92,4.44,0.25,12.27,21.35
