CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,Minimum,EE,FF
CCcy,,31.87,0.23,50.30,8.72,0.23,,
,  DDbmz,40.10,88.80,57.14,16.57,16.57,EEmz,FFlmr
,  DDbkv,31.87,0.23,50.30,8.72,0.23,EEhpx,FFlmr
,  DDhlt,47.63,91.57,60.54,23.51,23.51,EEhpx,FFlmr
CCkqy,,32.57,71.72,51.11,7.96,7.96,,
,  DDcwz,32.57,71.72,51.11,7.96,7.96,EEmz,FFbpv
,  DDbsz,41.28,89.67,60.48,17.75,17.75,EEhpx,FFbpv
,  DDmx,48.69,93.40,63.30,24.16,24.16,EEmz,FFbpv
CCbt,,26.36,64.48,46.87,7.40,7.40,,
,  DDmpy,46.88,90.84,60.39,18.72,18.72,EEmz,FFgqt
,  DDhpt,36.65,84.14,54.16,15.44,15.44,EEhpx,FFgqt
,  DDmx,26.36,64.48,46.87,7.40,7.40,EEmz,FFgqt
Minimum,,26.36,0.23,46.87,7.40,0.23,,
,  ,26.36,0.23,46.87,7.40,0.23,,
