CC,DD,AApqr_BBnqx,AApqr_BBbkv,AAmz_BBgqt,AAmz_BBcjx
CCbt,,9.39,-25.43,-36.80,-8.49
,  DDmpy,12.38,-55.80,-79.43,-17.69
,  DDbmz,5.68,-58.04,43.09,-28.30
,  DDcwz,5.60,66.11,-90.70,-30.26
,  DDmx,13.90,-53.97,-20.17,42.27
CCfnw,,11.93,-55.08,-19.26,25.14
,  DDknr,13.21,-62.04,-77.99,-13.13
,  DDgv,9.83,-58.82,43.81,99.14
,  DDqz,6.52,-62.61,39.84,-29.42
,  DDkrs,18.16,-36.86,-82.69,43.98
CChpx,,-2.25,-19.85,46.11,-3.10
,  DDlmr,-46.47,78.47,48.93,46.89
,  DDqtw,19.59,-42.66,52.39,-13.05
,  DDdlz,11.24,-56.06,45.81,-18.07
,  DDcmp,6.63,-59.13,37.30,-28.19
