CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAfnw_BBqz,AAfnw_BBkrs,Minimum,EE,FF
CCkqy,,7.02,91.15,46.66,78.18,21.48,7.02,,
,  DDhk,19.60,98.23,61.52,86.86,32.93,19.60,EEmz,FFgqt
,  DDcwz,7.02,91.15,46.66,78.18,21.48,7.02,EEmz,FFgqt
,  DDbsz,10.89,95.05,57.55,82.57,28.39,10.89,EEmz,FFlmr
CCbt,,6.98,87.67,34.72,62.46,20.47,6.98,,
,  DDmx,6.98,87.67,34.72,62.46,20.47,6.98,EEmz,FFgqt
,  DDhpt,8.01,92.36,48.44,80.38,21.10,8.01,EEmz,FFlmr
,  DDmpy,15.96,97.17,59.36,81.26,30.97,15.96,EEmz,FFgqt
CCcy,,7.20,89.79,38.74,64.40,21.51,7.20,,
,  DDhlt,17.67,98.50,59.29,85.52,31.55,17.67,EEmz,FFlmr
,  DDbkv,7.20,89.79,38.74,64.40,21.51,7.20,EEmz,FFlmr
,  DDbmz,10.57,92.98,56.77,81.08,25.27,10.57,EEmz,FFgqt
Minimum,,6.98,87.67,34.72,62.46,20.47,6.98,,
,  ,6.98,87.67,34.72,62.46,20.47,6.98,,
