DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt
Maximum,,25.99,10.11,17.67,15.40,19.06,23.78,5.83
,  ,25.99,10.11,17.67,15.40,19.06,23.78,5.83
DDmx,,22.12,8.96,14.67,13.34,18.10,22.78,3.68
,  EEmz,22.12,6.34,12.28,6.16,16.76,18.17,0.30
,  EEkqy,17.17,8.24,14.67,3.02,4.45,20.98,2.60
,  EEcrv,19.10,8.96,8.92,13.34,18.10,22.78,3.68
DDcy,,25.99,10.11,17.67,15.40,19.06,23.78,5.83
,  EEbkv,17.29,7.97,11.31,3.61,16.90,19.46,1.07
,  EEqz,21.69,9.85,15.50,13.23,5.81,21.97,2.96
,  EEdhv,25.99,10.11,17.67,15.40,19.06,23.78,5.83
