CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAfnw_BBgv,AAfnw_BBqz,AAfnw_BBkrs,Minimum,EE,FF
CCcy,,4.23,35.47,68.35,83.05,52.76,14.98,4.23,,
,  DDbkv,4.23,35.47,68.35,83.05,52.76,14.98,4.23,EEhpx,FFlmr
,  DDhlt,11.83,45.33,76.49,95.46,64.00,32.85,11.83,EEhpx,FFlmr
,  DDbmz,7.02,42.29,70.93,92.29,62.45,27.25,7.02,EEmz,FFlmr
CCkqy,,5.52,38.70,69.22,85.18,54.87,19.76,5.52,,
,  DDcwz,5.52,38.70,69.22,85.18,54.87,19.76,5.52,EEmz,FFbpv
,  DDbsz,9.02,45.25,71.01,93.04,63.78,29.24,9.02,EEhpx,FFbpv
,  DDmx,12.82,48.12,76.65,99.46,66.14,35.20,12.82,EEmz,FFbpv
CCbt,,2.95,36.03,65.86,82.15,51.42,13.97,2.95,,
,  DDmpy,9.00,46.22,73.63,93.58,63.84,32.10,9.00,EEmz,FFgqt
,  DDhpt,7.35,39.57,69.20,87.02,56.03,24.12,7.35,EEhpx,FFgqt
,  DDmx,2.95,36.03,65.86,82.15,51.42,13.97,2.95,EEmz,FFgqt
