AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,642.83
AApqr,BBnqx,CCbt,DDcy,EEbkv,656.74
AApqr,BBnqx,CCbt,DDcjx,EEkqy,18.13
AApqr,BBnqx,CCbt,DDmx,EEqz,787.43
AApqr,BBnqx,CCbt,DDcy,EEcrv,666.27
AApqr,BBnqx,CCbt,DDcjx,EEdhv,925.37
AApqr,BBnqx,CCbt,DDmx,EEbhk,671.64
AApqr,BBnqx,CCbt,DDcy,EEmpy,36.09
AApqr,BBnqx,CCbt,DDcjx,EEmz,677.24
AApqr,BBfnw,CCbt,DDmx,EEmz,294.55
AApqr,BBfnw,CCbt,DDcy,EEbkv,295.57
AApqr,BBfnw,CCbt,DDcjx,EEkqy,809.38
AApqr,BBfnw,CCbt,DDmx,EEqz,940.46
AApqr,BBfnw,CCbt,DDcy,EEcrv,305.68
AApqr,BBfnw,CCbt,DDcjx,EEdhv,561.65
AApqr,BBfnw,CCbt,DDmx,EEbhk,51.93
AApqr,BBfnw,CCbt,DDcy,EEmpy,437.14
AApqr,BBfnw,CCbt,DDcjx,EEmz,54.68
AApqr,BBlmr,CCbt,DDmx,EEmz,950.99
AApqr,BBlmr,CCbt,DDcy,EEbkv,953.68
AApqr,BBlmr,CCbt,DDcjx,EEkqy,826.92
AApqr,BBlmr,CCbt,DDmx,EEqz,443.42
AApqr,BBlmr,CCbt,DDcy,EEcrv,576.31
AApqr,BBlmr,CCbt,DDcjx,EEdhv,832.93
AApqr,BBlmr,CCbt,DDmx,EEbhk,450.73
AApqr,BBlmr,CCbt,DDcy,EEmpy,964.93
AApqr,BBlmr,CCbt,DDcjx,EEmz,590.69
AApqr,BBnqx,CCbt,DDmx,EEmz,719.68
AApqr,BBnqx,CCbt,DDcy,EEbkv,466.14
AApqr,BBnqx,CCbt,DDcjx,EEkqy,86.79
AApqr,BBnqx,CCbt,DDmx,EEqz,478.27
AApqr,BBnqx,CCbt,DDcy,EEcrv,610.69
AApqr,BBnqx,CCbt,DDcjx,EEdhv,356.3
AApqr,BBnqx,CCbt,DDmx,EEbhk,484.98
AApqr,BBnqx,CCbt,DDcy,EEmpy,614.38
AApqr,BBnqx,CCbt,DDcjx,EEmz,743.41
AApqr,BBfnw,CCbt,DDmx,EEmz,873.87
AApqr,BBfnw,CCbt,DDcy,EEbkv,747.04
AApqr,BBfnw,CCbt,DDcjx,EEkqy,364.49
AApqr,BBfnw,CCbt,DDmx,EEqz,363.08
AApqr,BBfnw,CCbt,DDcy,EEcrv,751.93
AApqr,BBfnw,CCbt,DDcjx,EEdhv,755.75
AApqr,BBfnw,CCbt,DDmx,EEbhk,630.13
AApqr,BBfnw,CCbt,DDcy,EEmpy,507.98
AApqr,BBfnw,CCbt,DDcjx,EEmz,510.26
