CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBcjx,AApqr_BBnqx
CCfnw,,-54.57,45.61,72.55,-17.57,1.66,19.57
,  DDgv,-55.83,45.64,67.93,-16.37,-0.93,22.67
,  DDqz,-62.40,42.27,67.77,-27.55,96.90,13.56
,  DDknr,-42.80,48.24,80.52,-8.23,-94.74,23.77
,  DDlmr,-38.69,54.04,85.19,-3.28,-85.01,33.14
,  DDkrs,-73.12,37.85,61.36,-32.42,92.07,4.71
CCbt,,-57.09,43.87,71.29,-20.54,19.69,18.52
,  DDmpy,-45.50,47.08,77.66,-10.36,-99.93,24.13
,  DDmx,-77.11,36.57,60.64,-34.75,91.48,1.99
,  DDcwz,-66.78,41.49,65.67,-29.93,95.25,12.38
,  DDbmz,-56.27,43.86,67.13,-23.17,98.26,21.99
,  DDkrs,-39.80,50.35,85.37,-4.48,-86.61,32.10
CChpx,,-51.93,36.16,74.67,-16.46,4.42,22.34
,  DDmx,-42.27,-4.39,82.16,-7.50,-88.71,28.55
,  DDcwz,-36.30,59.28,86.93,-2.70,-80.97,32.19
,  DDcmp,-62.99,41.13,68.28,-25.43,97.45,20.33
,  DDlmr,-68.08,39.74,64.87,-30.88,94.90,7.05
,  DDdlz,-50.01,45.05,71.11,-15.77,-0.59,23.59
