AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,647.57
AAdk,BBtw,CChv,DDtv,EEmn,647.42
AAdk,BBtw,CChv,DDnt,EEfh,396.88
AAdk,BBtw,CChv,DDtv,EElp,791.65
AAdk,BBtw,CChv,DDnt,EEfx,286.9
AAdk,BBtw,CChv,DDtv,EEdn,562.78
AAdk,BBst,CChv,DDnt,EEdn,821.61
AAdk,BBst,CChv,DDtv,EEmn,310.04
AAdk,BBst,CChv,DDnt,EEfh,440.17
AAdk,BBst,CChv,DDtv,EElp,191.0
AAdk,BBst,CChv,DDnt,EEfx,330.91
AAdk,BBst,CChv,DDtv,EEdn,972.82
AAdk,BBtw,CChv,DDnt,EEdn,717.79
AAdk,BBtw,CChv,DDtv,EEmn,718.45
AAdk,BBtw,CChv,DDnt,EEfh,590.32
AAdk,BBtw,CChv,DDtv,EElp,589.59
AAdk,BBtw,CChv,DDnt,EEfx,214.37
AAdk,BBtw,CChv,DDtv,EEdn,608.0
AAdk,BBst,CChv,DDnt,EEdn,867.88
AAdk,BBst,CChv,DDtv,EEmn,358.98
AAdk,BBst,CChv,DDnt,EEfh,743.41
AAdk,BBst,CChv,DDtv,EElp,499.91
AAdk,BBst,CChv,DDnt,EEfx,377.53
AAdk,BBst,CChv,DDtv,EEdn,255.58
