Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,521.07
AAdk,BBtw,CChv,DDtv,EEmn,528.33
AAdk,BBtw,CChv,DDnt,EEfh,275.67
AAdk,BBtw,CChv,DDtv,EElp,403.52
AAdk,BBtw,CChv,DDnt,EEfx,277.79
AAdk,BBtw,CChv,DDtv,EEdn,47.69
AAdk,BBst,CChv,DDnt,EEdn,823.44
AAdk,BBst,CChv,DDtv,EEmn,567.58
AAdk,BBst,CChv,DDnt,EEfh,319.55
AAdk,BBst,CChv,DDtv,EElp,450.22
AAdk,BBst,CChv,DDnt,EEfx,194.5
AAdk,BBst,CChv,DDtv,EEdn,971.42
AAdk,BBtw,CChv,DDnt,EEdn,206.94
AAdk,BBtw,CChv,DDtv,EEmn,462.12
AAdk,BBtw,CChv,DDnt,EEfh,85.13
AAdk,BBtw,CChv,DDtv,EElp,470.37
AAdk,BBtw,CChv,DDnt,EEfx,990.74
AAdk,BBtw,CChv,DDtv,EEdn,227.01
AAdk,BBst,CChv,DDnt,EEdn,484.21
AAdk,BBst,CChv,DDtv,EEmn,613.9
AAdk,BBst,CChv,DDnt,EEfh,742.39
AAdk,BBst,CChv,DDtv,EElp,231.3
AAdk,BBst,CChv,DDnt,EEfx,233.04
AAdk,BBst,CChv,DDtv,EEdn,362.6
