DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs
DDmx,EEbhk,66.95,-41.83,-32.87,84.21,14.45,47.13,-72.79
,EEkqy,72.38,-34.92,-5.79,-99.43,30.09,52.77,-62.42
,EEmz,59.98,-56.75,-31.66,80.71,1.30,36.80,-84.10
,EEqz,63.60,-48.23,-6.18,84.86,6.83,40.15,-79.73
,EEksy,67.09,-38.08,-14.64,98.09,24.45,52.04,-66.56
DDcy,EEmpy,65.10,-2.11,-22.33,92.64,15.54,48.06,-68.26
,EEcrv,64.26,-43.73,-28.64,84.08,9.74,45.30,-75.69
,EEmz,65.94,-38.97,-7.60,99.12,26.14,52.26,-65.13
,EEqz,74.06,-33.00,-4.50,-94.09,34.74,54.24,-61.16
,EEbkv,59.77,-50.29,-30.01,82.06,6.39,38.19,-83.97
DDcjx,EEhq,65.78,-40.76,-18.28,94.68,20.85,50.30,-68.74
,EEcrv,74.30,-32.22,-2.60,-90.99,34.36,53.97,-58.76
,EEkqy,62.39,-50.93,-29.05,83.69,6.33,39.54,-81.37
,EEbkv,67.75,-42.00,-6.32,-5.95,27.02,52.01,-67.47
,EEdhv,65.12,-42.48,-26.59,86.94,10.03,46.08,-73.64
