CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx
CChpx,DDlmr,-70.11,45.58,68.86,-43.06,-19.32,43.55,14.47
,DDdlz,-69.20,51.67,73.08,-44.28,-18.72,97.73,18.76
,DDcmp,-76.59,48.19,62.79,-44.95,-26.40,94.53,8.65
CCbt,DDcwz,-81.95,46.82,62.33,-46.80,-31.62,88.64,6.46
,DDmx,-73.62,37.78,64.74,-45.54,-25.52,90.34,12.86
,DDbmz,-73.82,49.74,71.63,-43.83,-21.60,96.08,14.64
CCfnw,DDkrs,-70.41,46.39,65.26,-44.86,-24.39,39.45,13.88
,DDqz,-79.14,46.90,63.04,-46.09,-27.32,93.13,9.51
,DDgv,-70.44,48.35,71.57,-43.42,-18.91,97.08,16.21
Average,,-73.92,46.82,67.03,-44.76,-23.76,82.28,12.83
