DD,EE,AAdk_BBrz_CCdt,AAdk_BBhz_CChv,AAdk_BBtw_CChv,AArv_BBsy_CCdl,AArv_BBst_CCnw
Average,,-30.19,-14.60,15.73,25.09,-39.53
,  ,-30.19,-14.60,15.73,25.09,-39.53
DDnt,,0.09,-16.02,13.44,23.74,-57.06
,  EEhl,-53.45,-2.90,29.77,96.59,48.97
,  EEfh,62.03,-18.33,8.48,81.67,-92.92
,  EEdn,-76.26,-27.76,-0.94,-47.02,-94.52
,  EEfx,68.05,-15.07,16.45,-36.29,-89.77
DDtv,,-60.48,-13.18,18.01,26.45,-22.01
,  EEhr,-56.07,-7.81,23.36,-33.84,46.77
,  EEdn,-48.31,-1.85,29.06,96.52,-78.97
,  EElp,-63.50,-17.11,13.53,89.88,38.55
,  EEmn,-74.03,-25.94,6.10,-46.75,-94.37
