DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBlmr_CCcqx
DDcjx,,17.22,27.27,18.97,16.37,8.36,24.81,26.03
,  EEbkv,17.22,8.60,6.71,16.37,8.36,24.81,26.03
,  EEdhv,13.74,27.27,18.97,14.86,5.92,23.95,23.74
,  EEkqy,11.43,21.12,17.74,12.71,1.36,2.39,19.40
DDmx,,14.69,27.29,6.53,12.36,6.44,23.96,24.57
,  EEmz,9.02,25.62,4.30,9.89,0.19,20.57,17.92
,  EEqz,11.57,23.79,5.96,12.36,2.49,22.56,21.24
,  EEbhk,14.69,27.29,6.53,3.21,6.44,23.96,24.57
DDcy,,13.77,26.92,19.49,16.82,4.90,24.20,24.98
,  EEbkv,9.52,26.92,17.87,11.59,1.64,20.42,19.34
,  EEmz,9.90,7.43,19.49,16.82,4.72,24.20,24.98
,  EEcrv,13.77,26.70,18.90,13.63,4.90,3.65,22.39
