CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
Minimum,,86.81,41.34,0.14,62.04,18.54,78.15,,
,  ,86.81,41.34,0.14,62.04,18.54,78.15,,
CCcy,,91.90,49.98,2.06,62.04,21.08,81.78,,
,  DDbkv,91.90,49.98,2.06,62.04,21.08,82.41,EEmz,FFgqt
,  DDbmz,93.55,54.06,8.37,73.14,29.01,81.78,EEmz,FFgqt
,  DDhlt,96.87,61.09,18.57,79.61,41.95,88.38,EEmz,FFgqt
CCbt,,86.81,41.34,0.14,63.99,18.54,80.19,,
,  DDmpy,92.10,60.67,14.63,78.20,36.44,87.24,EEmz,FFgqt
,  DDmx,86.81,41.34,0.14,63.99,18.54,80.19,EEmz,FFgqt
,  DDhpt,93.65,53.61,6.89,70.34,27.22,83.31,EEmz,FFgqt
CCkqy,,92.97,52.45,5.70,69.87,19.77,78.15,,
,  DDmx,99.01,61.28,18.61,80.58,42.52,89.40,EEmz,FFgqt
,  DDbsz,94.77,59.65,12.84,74.80,32.37,86.24,EEmz,FFgqt
,  DDcwz,92.97,52.45,5.70,69.87,19.77,78.15,EEmz,FFgqt
