DD,EE,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,Average
DDcy,EEmz,-20.60,22.37,-60.65,-38.42,-80.43,-35.55
,EEbkv,-29.41,5.05,55.00,74.50,-97.99,1.43
,EEmpy,-23.85,14.20,-63.80,85.49,40.36,10.48
,EEcrv,96.78,10.33,59.05,82.58,-94.20,30.91
,EEqz,-6.08,26.76,-54.30,96.40,51.68,22.89
DDcjx,EEbkv,-12.19,23.22,69.86,-38.69,-79.85,-7.53
,EEhq,-22.33,19.00,-63.90,86.75,42.36,12.38
,EEcrv,-1.51,27.19,-53.17,-31.88,53.30,-1.21
,EEkqy,97.48,7.45,54.40,80.12,-96.70,28.55
,EEdhv,97.69,12.59,59.64,81.33,34.22,57.09
DDmx,EEmz,97.26,2.87,54.93,-52.31,28.72,26.29
,EEksy,-21.88,20.20,67.34,87.35,43.07,39.22
,EEqz,-28.45,9.65,55.38,-48.49,-94.63,-21.31
,EEbhk,96.82,13.53,-66.62,81.32,-92.03,6.60
,EEkqy,-9.38,25.88,-57.45,94.47,49.91,20.69
