AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AAdk,BBtw,CChv,DDnt,EEdn,FFrv,34.83
AAdk,BBtw,CCtv,DDmn,EEbx,FFrz,69.1
AAdk,BBtw,CChv,DDcl,EEdn,FFdl,37.05
AAdk,BBtw,CCtv,DDhz,EEbx,FFrv,72.52
AAst,BBnw,CChv,DDnt,EEdn,FFrv,73.5
AAst,BBnw,CCtv,DDmn,EEbx,FFrz,75.66
AAst,BBnw,CChv,DDcl,EEdn,FFdl,14.51
AAst,BBnw,CCtv,DDhz,EEbx,FFrv,79.05
AAdk,BBpw,CChv,DDnt,EEdn,FFrv,80.02
AAdk,BBpw,CCtv,DDmn,EEbx,FFrz,20.78
AAdk,BBpw,CChv,DDcl,EEdn,FFdl,53.27
AAdk,BBpw,CCtv,DDhz,EEbx,FFrv,87.5
AAst,BBlp,CChv,DDnt,EEdn,FFrv,94.42
AAst,BBlp,CCtv,DDmn,EEbx,FFrz,28.7
AAst,BBlp,CChv,DDcl,EEdn,FFdl,29.09
AAst,BBlp,CCtv,DDhz,EEbx,FFrv,62.08
