DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,Maximum
DDcjx,,15.78,23.48,27.69,8.87,5.36,24.66,10.99,17.98,27.69
,  EEbkv,15.78,5.60,26.89,8.87,1.18,24.66,10.99,17.98,26.89
,  EEkqy,12.77,20.31,27.69,2.34,3.30,21.85,8.34,11.63,27.69
,  EEdhv,2.80,23.48,6.07,1.37,5.36,21.10,10.98,14.87,23.48
DDmx,,14.17,24.15,27.36,3.00,18.48,21.51,10.66,12.92,27.36
,  EEmz,11.52,18.40,27.36,0.90,3.63,20.33,7.92,9.12,27.36
,  EEqz,14.17,19.96,25.88,3.00,17.36,2.15,8.81,12.92,25.88
,  EEbhk,2.63,24.15,24.26,2.81,18.48,21.51,10.66,6.90,24.26
DDcy,,14.95,22.43,27.40,6.16,17.28,22.60,10.81,16.02,27.40
,  EEmz,2.87,20.86,27.40,6.16,5.56,22.60,10.81,16.02,27.40
,  EEbkv,11.16,16.77,27.01,1.57,16.75,20.45,8.69,10.68,27.01
,  EEcrv,14.95,22.43,5.17,2.86,17.28,2.23,9.66,13.65,22.43
Maximum,,15.78,24.15,27.69,8.87,18.48,24.66,10.99,17.98,27.69
,  ,15.78,24.15,27.69,8.87,18.48,24.66,10.99,17.98,27.69
