CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBcjx,Minimum,EE,FF
CCkqy,,29.04,63.34,12.83,46.56,12.83,,
,  DDcwz,29.04,63.34,12.83,46.56,12.83,EEmz,FFgqt
,  DDbsz,38.14,87.96,15.51,55.38,15.51,EEmz,FFgqt
,  DDmx,40.86,96.94,20.17,58.68,20.17,EEmz,FFgqt
CCcy,,29.36,59.86,7.61,45.60,7.61,,
,  DDhlt,40.36,94.64,20.74,56.03,20.74,EEmz,FFgqt
,  DDbmz,34.74,85.70,15.65,53.38,15.65,EEmz,FFgqt
,  DDbkv,29.36,59.86,7.61,45.60,7.61,EEmz,FFgqt
CCbt,,21.66,59.26,1.57,40.35,1.57,,
,  DDmx,21.66,59.26,1.57,40.35,1.57,EEmz,FFgqt
,  DDmpy,39.19,92.05,19.32,56.17,19.32,EEmz,FFgqt
,  DDhpt,30.70,72.09,13.25,53.89,13.25,EEmz,FFgqt
Minimum,,21.66,59.26,1.57,40.35,1.57,,
,  ,21.66,59.26,1.57,40.35,1.57,,
