DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,Average
DDmx,,-17.65,-11.28,-64.46,18.68,-18.68
,  EEbhk,49.09,-32.44,-59.61,26.38,-4.14
,  EEqz,-82.61,-36.28,-70.41,12.96,-44.09
,  EEmz,-19.44,34.87,-63.36,16.70,-7.81
DDcy,,-81.16,14.07,22.13,-0.14,-11.28
,  EEbkv,-83.57,-26.98,67.08,-46.98,-22.61
,  EEmpy,-78.73,-24.13,69.05,30.29,-0.88
,  EEcrv,-81.18,93.31,-69.75,16.27,-10.34
DDcjx,,5.78,37.26,24.84,-39.53,7.09
,  EEhq,51.28,-23.84,71.33,-97.81,0.24
,  EEkqy,46.88,40.78,70.21,-45.52,28.09
,  EEdhv,-80.81,94.83,-67.02,24.75,-7.06
Average,,-31.01,13.35,-5.83,-6.99,-7.62
,  ,-31.01,13.35,-5.83,-6.99,-7.62
