DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt
DDmx,,-37.86,39.60,-23.96,21.54,25.33
,  EEqz,-82.15,80.20,18.18,65.99,-13.38
,  EEbhk,54.96,-32.53,-94.04,68.81,-9.59
,  EEmz,-86.38,71.12,3.97,-70.18,98.97
DDcjx,,7.98,46.74,-15.07,24.66,-11.43
,  EEkqy,45.72,76.25,14.84,64.23,-20.05
,  EEbkv,-72.44,98.35,-88.18,-56.53,-2.96
,  EEdhv,50.65,-34.37,28.14,66.29,-11.27
DDcy,,6.29,-43.92,22.01,-20.61,-15.01
,  EEbkv,44.04,-53.21,5.58,-70.52,-25.66
,  EEcrv,-81.04,-48.28,22.85,66.44,-13.24
,  EEmz,55.87,-30.28,37.61,-57.74,-6.12
Average,,-7.86,14.14,-5.67,8.53,-0.37
,  ,-7.86,14.14,-5.67,8.53,-0.37
