Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,650.77
AAdk,BBtw,CCst,DDnw,141.18
AAdk,BBtw,CCbx,DDrz,526.97
AAdk,BBtw,CChv,DDcl,272.22
AAdk,BBtw,CCst,DDlp,792.1
AAdk,BBtw,CCbx,DDcs,157.91
AAdk,BBtw,CChv,DDhm,541.59
AAdk,BBtw,CCst,DDnt,670.98
AAdk,BBtw,CCbx,DDnw,161.53
AAdk,BBrv,CChv,DDnt,420.38
AAdk,BBrv,CCst,DDnw,420.25
AAdk,BBrv,CCbx,DDrz,302.32
AAdk,BBrv,CChv,DDcl,432.08
AAdk,BBrv,CCst,DDlp,945.63
AAdk,BBrv,CCbx,DDcs,308.32
AAdk,BBrv,CChv,DDhm,56.52
AAdk,BBrv,CCst,DDnt,580.08
AAdk,BBrv,CCbx,DDnw,709.25
AAdk,BBmn,CChv,DDnt,71.41
AAdk,BBmn,CCst,DDnw,712.56
AAdk,BBmn,CCbx,DDrz,841.16
AAdk,BBmn,CChv,DDcl,972.11
AAdk,BBmn,CCst,DDlp,77.52
AAdk,BBmn,CCbx,DDcs,210.98
AAdk,BBmn,CChv,DDhm,214.98
AAdk,BBmn,CCst,DDnt,983.08
AAdk,BBmn,CCbx,DDnw,474.36
AAdk,BBtw,CChv,DDnt,602.52
AAdk,BBtw,CCst,DDnw,219.62
AAdk,BBtw,CCbx,DDrz,615.4
AAdk,BBtw,CChv,DDcl,104.54
AAdk,BBtw,CCst,DDlp,874.68
AAdk,BBtw,CCbx,DDcs,107.8
AAdk,BBtw,CChv,DDhm,246.91
AAdk,BBtw,CCst,DDnt,887.02
AAdk,BBtw,CCbx,DDnw,123.0
