CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBgqt,AAmz_BBbpv,AAmz_BBdhv,AAcy_BBhpt,AAcy_BBbkv,Average
CCfnw,DDmx,-18.65,20.10,-91.98,48.35,-58.11,-3.39,-32.31,73.45,-7.82
,DDkrs,-28.23,1.40,91.93,26.26,-82.69,-15.49,-47.92,52.93,-0.23
,DDqz,-25.39,9.98,-96.25,33.30,-77.30,-12.22,-45.46,59.80,-19.19
,DDgv,-23.06,12.10,-92.43,41.78,-67.79,-15.57,-41.86,67.45,-14.92
CChpx,DDcmp,-23.37,10.11,-95.88,39.97,-75.18,-12.66,-42.70,60.20,-17.44
,DDkrs,-17.76,23.26,-87.91,49.92,-56.46,-1.64,-32.59,76.41,-5.85
,DDdlz,-20.74,14.24,-92.41,41.63,-67.66,-8.61,-39.81,71.12,-12.78
,DDlmr,-27.26,2.55,98.98,28.53,-81.08,-15.71,-46.88,54.40,1.69
CCbt,DDcwz,-25.15,6.50,-20.02,29.13,-80.80,-14.70,-46.62,57.15,-11.81
,DDmx,-32.78,0.97,86.81,26.78,-89.83,-16.37,-50.00,52.04,-2.80
,DDmpy,-19.15,16.34,-91.27,47.02,-65.41,-5.08,-39.72,73.39,-10.48
,DDbmz,-24.86,10.99,-92.22,39.99,-72.67,-10.71,-41.57,66.98,-15.51
Average,,-23.87,10.71,-40.22,37.72,-72.91,-11.01,-42.29,63.78,-9.76
