CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,Minimum,EE,FF
CCkqy,,23.86,61.59,0.01,12.18,38.51,0.01,,
,  DDcwz,23.86,61.59,80.41,12.18,38.51,12.18,EEmz,FFbpv
,  DDmx,34.17,73.04,0.01,19.38,56.70,0.01,EEmz,FFgqt
,  DDbsz,30.77,64.97,95.12,15.19,47.33,15.19,EEhpx,FFlmr
CCcy,,23.04,58.41,80.44,6.96,38.71,6.96,,
,  DDbmz,25.40,62.83,88.05,14.81,47.12,14.81,EEmz,FFgqt
,  DDbkv,23.04,58.41,80.44,6.96,38.71,6.96,EEhpx,FFlmr
,  DDhlt,33.72,70.75,99.39,19.54,56.05,19.54,EEhpx,FFcmp
CCbt,,22.80,58.63,78.48,2.73,36.33,2.73,,
,  DDhpt,25.87,61.29,85.73,13.49,42.73,13.49,EEhpx,FFcmp
,  DDmpy,31.13,69.98,98.48,15.25,47.99,15.25,EEmz,FFbpv
,  DDmx,22.80,58.63,78.48,2.73,36.33,2.73,EEmz,FFgqt
