CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,Minimum,EE,FF
CCkqy,,55.37,13.71,39.58,80.63,13.71,,
,  DDbsz,65.05,29.32,44.36,85.14,29.32,EEmz,FFgqt
,  DDcwz,55.37,13.71,39.58,80.63,13.71,EEmz,FFgqt
,  DDbkv,72.33,29.69,51.15,97.52,29.69,EEmz,FFgqt
CCcy,,52.22,9.77,40.94,81.75,9.77,,
,  DDbmz,65.59,23.13,42.21,83.31,23.13,EEmz,FFgqt
,  DDmx,68.85,31.67,51.21,88.01,31.67,EEmz,FFgqt
,  DDbkv,52.22,9.77,40.94,81.75,9.77,EEmz,FFgqt
CCbt,,53.31,8.32,39.52,80.36,8.32,,
,  DDmpy,67.80,29.83,45.09,83.20,29.83,EEmz,FFgqt
,  DDmx,53.31,8.32,39.52,80.36,8.32,EEmz,FFgqt
,  DDhpt,55.62,22.23,42.61,83.06,22.23,EEmz,FFgqt
