DD,EE,AAdk_BBtw_CCmx,AAdk_BBtw_CChv,AAdk_BBtw_CCdt,AArv_BBst_CCdl,AArv_BBst_CCnw,Maximum
DDtv,,26.45,4.22,14.95,20.98,11.16,26.45
,  EEmn,26.45,0.69,14.95,20.98,8.39,26.45
,  EEhr,11.55,4.22,14.43,20.79,11.16,20.79
,  EElp,26.38,1.64,9.45,16.91,10.95,26.38
DDnt,,25.76,4.16,15.66,23.47,9.77,25.76
,  EEfh,25.20,0.27,15.66,20.09,9.77,25.20
,  EEdn,25.15,0.58,13.86,17.34,5.54,25.15
,  EEfx,25.76,4.16,10.92,23.47,8.51,25.76
Maximum,,26.45,4.22,15.66,23.47,11.16,26.45
,  ,26.45,4.22,15.66,23.47,11.16,26.45
