CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBbgp,AAfnw_BBknr,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,AAcqx_BBgv,AAcqx_BBcjx
CCbt,DDmpy,EEmz,FFgqt,23.41,59.06,96.48,78.77,11.42,49.89,68.40,37.77
,DDhpt,EEhpx,FFlmr,22.37,55.16,93.70,74.75,7.65,45.52,64.51,37.81
,DDmx,EEmz,FFgqt,20.25,51.44,83.43,67.46,1.58,39.97,62.90,33.16
CCkqy,DDbkv,EEmz,FFgqt,31.15,63.24,63.78,82.59,17.55,48.28,70.98,40.86
,DDbsz,EEhpx,FFlmr,25.90,58.79,96.70,77.31,10.05,47.63,65.32,39.84
,DDcwz,EEmz,FFgqt,22.85,45.05,93.30,73.95,6.82,45.49,0.09,35.58
CCcy,DDbkv,EEhpx,FFlmr,21.08,53.14,87.57,63.12,2.86,37.56,62.59,38.17
,DDmx,EEhpx,FFlmr,30.69,60.40,97.94,80.12,16.32,47.40,68.44,41.54
,DDbmz,EEmz,FFgqt,24.87,57.80,44.95,76.56,8.30,47.49,66.72,38.82
Minimum,,,,20.25,45.05,44.95,63.12,1.58,37.56,0.09,33.16
