CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,Minimum,EE,FF
CCkqy,,40.95,89.17,12.33,53.45,69.39,22.88,12.33,,
,  DDbsz,46.49,93.77,16.16,55.35,77.47,31.97,16.16,EEhpx,FFbpv
,  DDmx,49.08,97.82,20.33,59.74,82.70,37.38,20.33,EEmz,FFbpv
,  DDcwz,40.95,89.17,12.33,53.45,69.39,22.88,12.33,EEmz,FFbpv
CCbt,,35.30,85.60,2.63,51.98,60.79,22.80,2.63,,
,  DDmpy,46.61,94.05,17.92,54.63,78.70,35.16,17.92,EEmz,FFgqt
,  DDmx,35.30,85.60,2.63,51.98,60.79,22.80,2.63,EEmz,FFgqt
,  DDhpt,42.80,90.21,13.47,54.42,70.98,23.05,13.47,EEhpx,FFgqt
CCcy,,39.86,87.65,8.01,52.01,65.55,23.50,8.01,,
,  DDbkv,39.86,87.65,8.01,52.01,65.55,23.50,8.01,EEhpx,FFlmr
,  DDbmz,44.13,91.60,14.95,55.85,73.75,29.63,14.95,EEmz,FFlmr
,  DDhlt,49.89,96.65,17.03,53.17,82.80,36.77,17.03,EEhpx,FFlmr
Minimum,,35.30,85.60,2.63,51.98,60.79,22.80,2.63,,
,  ,35.30,85.60,2.63,51.98,60.79,22.80,2.63,,
