CC,DD,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBdhv,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp
CChpx,DDcmp,-73.82,62.11,-14.61,-92.79,46.67,7.58,85.95,-50.96
,DDcwz,-58.79,72.78,-2.81,-78.99,51.57,28.84,99.73,-28.73
,DDmx,-64.72,60.85,-11.15,-83.85,52.26,26.22,94.56,-31.42
,DDdlz,-78.43,60.12,-12.42,-85.91,48.07,17.79,92.28,-38.39
,DDlmr,-75.56,59.04,-16.55,-95.52,39.23,3.52,78.96,-57.16
CCbt,DDbmz,-79.26,62.07,-12.48,-91.35,46.98,9.39,87.08,-42.67
,DDcwz,-75.68,60.84,-16.75,-95.08,39.59,5.68,80.40,-58.30
,DDkrs,-63.92,70.93,-5.21,-83.51,52.36,27.22,97.39,-30.43
,DDmx,-77.38,56.61,-20.85,-77.05,32.99,2.82,74.69,-58.46
,DDmpy,-68.08,67.15,-9.87,-84.89,49.96,19.74,93.04,-33.67
CCfnw,DDkrs,-77.58,59.58,-19.75,-96.28,38.11,3.08,77.64,-57.36
,DDknr,-67.71,68.04,-10.60,-84.54,47.97,22.77,94.80,-31.86
,DDlmr,-60.64,64.48,-4.29,-79.96,51.88,28.72,98.57,-28.54
,DDgv,-71.66,61.24,-11.30,-87.04,46.88,10.38,89.19,-39.53
,DDqz,-78.30,61.70,-14.37,-95.47,40.81,6.99,82.08,-50.91
