CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,EE,FF
CCbt,,44.68,88.73,2.68,61.65,73.69,15.61,,
,  DDmx,44.68,88.73,2.68,61.65,73.69,15.61,EEmz,FFgqt
,  DDbmz,59.23,97.62,11.06,70.41,83.41,37.82,EEmz,FFlmr
,  DDcwz,55.58,96.80,7.68,68.16,77.57,28.04,EEmz,FFbpv
CCcy,,49.12,93.53,4.37,67.70,77.55,22.89,,
,  DDbkv,49.12,93.53,4.37,67.70,77.55,22.89,EEhpx,FFlmr
,  DDhpt,57.27,97.55,8.57,68.05,80.61,33.83,EEhpx,FFgqt
,  DDbsz,59.64,99.45,15.38,70.96,86.95,43.64,EEhpx,FFbpv
Minimum,,44.68,88.73,2.68,61.65,73.69,15.61,,
,  ,44.68,88.73,2.68,61.65,73.69,15.61,,
