DD,EE,AAgqt_BBlsx_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,AApqr_BBhpt_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx
DDcjx,EEkqy,98.33,-96.90,-64.05,-48.61,5.29,51.61
,EEbkv,-11.98,-87.23,69.67,-34.34,29.17,-66.93
,EEhq,-16.42,39.04,71.96,89.18,22.45,59.94
,EEdhv,98.66,-96.48,-63.64,88.51,17.94,55.93
DDcy,EEbkv,-31.87,-97.45,64.99,-62.41,5.68,-83.74
,EEmpy,-17.64,-99.98,70.12,90.66,18.25,56.03
,EEmz,-13.15,-87.73,-61.25,-34.37,28.94,-67.07
,EEcrv,98.52,34.04,0.15,-42.55,10.66,-75.69
DDmx,EEbhk,-20.47,36.43,-64.64,-39.21,18.61,-72.86
,EEqz,98.98,31.01,66.18,85.19,7.58,-75.49
,EEmz,-32.10,30.89,61.35,-53.79,1.99,-83.56
,EEksy,-13.70,-87.56,71.63,-35.74,24.14,-68.38
