DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,Average
DDmx,EEksy,-44.15,80.93,-4.20,25.02,-78.95,57.23,-65.12,-4.18
,EEbhk,-51.84,78.20,-9.46,23.20,-84.20,51.99,-65.02,-8.16
,EEqz,-55.24,74.46,-31.79,17.22,-4.90,45.33,-68.91,-3.40
,EEmz,-60.07,71.99,-33.66,5.28,91.86,32.69,-73.88,4.89
DDcy,EEmz,-42.83,83.34,-2.68,28.38,-75.46,59.06,-60.60,-1.54
,EEbkv,-60.49,72.29,-32.60,9.51,98.40,37.70,-72.10,7.53
,EEcrv,-53.78,76.44,-15.98,20.20,-97.80,47.62,-69.43,-13.25
,EEmpy,-55.08,78.13,-8.17,22.50,-84.91,56.32,-65.90,-8.16
DDcjx,EEdhv,-52.11,78.53,-12.42,22.17,-86.72,48.11,-66.79,-9.89
,EEbkv,-39.28,85.56,-1.63,30.68,-74.21,57.54,-59.81,-0.16
,EEhq,-46.47,80.46,-5.10,25.99,-79.84,56.67,-63.46,-4.54
,EEkqy,-55.75,72.42,-31.51,13.41,99.12,43.51,-69.51,10.24
