DD,EE,AArv_BBst_CCnw,AArv_BBsy_CCnw,AAdk_BBhz_CChv,AAdk_BBrz_CChv,AAdk_BBtw_CChv
Average,,0.70,3.45,20.83,16.73,4.53
,  ,0.70,3.45,20.83,16.73,4.53
DDtv,,18.47,-12.05,6.55,2.29,-9.69
,  EElp,-80.40,-45.34,-32.75,-66.81,22.06
,  EEhr,55.29,-43.75,-26.50,69.71,28.67
,  EEdn,58.22,89.01,-8.17,-53.49,-92.81
,  EEmn,40.76,-48.14,93.62,59.77,3.32
DDnt,,-17.06,18.96,35.11,31.17,18.76
,  EEfh,42.66,83.11,93.32,60.78,16.36
,  EEfx,54.29,85.88,-30.90,-63.92,26.61
,  EEdn,-90.86,-52.14,90.12,58.04,2.55
,  EEhl,-74.33,-41.00,-12.09,69.80,29.52
