AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,130.23
AAdk,BBtw,CChv,DDtv,EEmn,260.26
AAdk,BBtw,CChv,DDnt,EEfh,648.5
AAdk,BBtw,CChv,DDtv,EElp,268.0
AAdk,BBtw,CChv,DDnt,EEfx,17.82
AAdk,BBtw,CChv,DDtv,EEdn,913.71
AAdk,BBst,CChv,DDnt,EEdn,26.24
AAdk,BBst,CChv,DDtv,EEmn,925.84
AAdk,BBst,CChv,DDnt,EEfh,288.52
AAdk,BBst,CChv,DDtv,EElp,426.75
AAdk,BBst,CChv,DDnt,EEfx,302.89
AAdk,BBst,CChv,DDtv,EEdn,175.85
AAdk,BBtw,CChv,DDnt,EEdn,305.65
AAdk,BBtw,CChv,DDtv,EEmn,438.69
AAdk,BBtw,CChv,DDnt,EEfh,313.12
AAdk,BBtw,CChv,DDtv,EElp,577.87
AAdk,BBtw,CChv,DDnt,EEfx,836.49
AAdk,BBtw,CChv,DDtv,EEdn,83.51
AAdk,BBst,CChv,DDnt,EEdn,348.43
AAdk,BBst,CChv,DDtv,EEmn,609.77
AAdk,BBst,CChv,DDnt,EEfh,611.07
AAdk,BBst,CChv,DDtv,EElp,115.27
AAdk,BBst,CChv,DDnt,EEfx,627.75
AAdk,BBst,CChv,DDtv,EEdn,379.82
