Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,258.86
AAdk,BBtw,CCst,DDnw,529.53
AAdk,BBtw,CChv,DDrz,18.09
AAdk,BBtw,CCst,DDcl,149.72
AAdk,BBtw,CChv,DDlp,791.29
AAdk,BBtw,CCst,DDnt,924.95
AAdk,BBrv,CChv,DDnt,797.39
AAdk,BBrv,CCst,DDnw,293.89
AAdk,BBrv,CChv,DDrz,807.13
AAdk,BBrv,CCst,DDcl,43.87
AAdk,BBrv,CChv,DDlp,561.68
AAdk,BBrv,CCst,DDnt,703.22
AAdk,BBmn,CChv,DDnt,584.12
AAdk,BBmn,CCst,DDnw,849.6
AAdk,BBmn,CChv,DDrz,723.17
AAdk,BBmn,CCst,DDcl,83.75
AAdk,BBmn,CChv,DDlp,349.81
AAdk,BBmn,CCst,DDnt,228.53
AAdk,BBtw,CChv,DDnt,616.6
AAdk,BBtw,CCst,DDnw,879.71
AAdk,BBtw,CChv,DDrz,880.58
AAdk,BBtw,CCst,DDcl,117.38
AAdk,BBtw,CChv,DDlp,632.45
AAdk,BBtw,CCst,DDnt,509.23
