CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,EE,FF
CCcy,,25.81,75.54,88.22,4.73,54.19,,
,  DDbkv,25.81,75.54,88.80,4.73,54.19,EEhpx,FFlmr
,  DDbmz,27.44,79.96,88.22,7.45,62.69,EEmz,FFgqt
,  DDhlt,42.65,85.28,96.37,14.28,67.74,EEhpx,FFcmp
CCbt,,17.92,73.95,87.13,3.90,45.42,,
,  DDmpy,32.46,83.22,95.21,14.88,66.62,EEmz,FFbpv
,  DDhpt,27.25,78.05,90.68,4.23,62.20,EEhpx,FFcmp
,  DDmx,17.92,73.95,87.13,3.90,45.42,EEmz,FFgqt
CCkqy,,26.82,76.90,89.82,3.59,55.21,,
,  DDcwz,26.82,76.90,89.82,3.59,55.21,EEmz,FFbpv
,  DDbsz,30.36,80.72,92.12,5.07,64.79,EEhpx,FFlmr
,  DDmx,42.83,86.18,98.00,16.84,71.47,EEmz,FFgqt
