CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAfnw_BBbgp,AAfnw_BBkrs,Minimum,EE,FF
CCbt,,33.07,70.53,84.97,45.15,0.29,60.58,11.29,0.29,,
,  DDmpy,41.00,84.90,95.78,53.93,9.47,60.58,23.38,9.47,EEmz,FFgqt
,  DDmx,33.07,70.53,84.97,45.15,0.29,60.65,11.29,0.29,EEmz,FFgqt
,  DDhpt,37.54,77.11,92.62,48.15,5.20,63.14,19.29,5.20,EEmz,FFgqt
CCcy,,34.83,72.50,90.08,46.40,2.91,61.34,15.59,2.91,,
,  DDmx,41.26,85.45,97.06,56.02,8.68,69.39,29.37,8.68,EEmz,FFgqt
,  DDbkv,35.61,72.50,90.08,46.40,2.91,61.34,15.59,2.91,EEmz,FFgqt
,  DDbmz,34.83,77.98,93.13,51.03,8.37,64.16,19.64,8.37,EEmz,FFgqt
CCkqy,,35.18,69.98,91.06,46.97,5.87,61.37,15.78,5.87,,
,  DDcwz,35.18,69.98,91.06,46.97,5.87,61.37,15.78,5.87,EEmz,FFgqt
,  DDbkv,40.80,85.90,97.50,58.47,9.06,70.95,33.55,9.06,EEmz,FFgqt
,  DDbsz,40.11,82.27,94.13,53.45,9.67,64.64,22.29,9.67,EEmz,FFgqt
Minimum,,33.07,69.98,84.97,45.15,0.29,60.58,11.29,0.29,,
,  ,33.07,69.98,84.97,45.15,0.29,60.58,11.29,0.29,,
