CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,Minimum
CCbt,,17.90,61.75,1.67,45.68,27.88,86.22,1.67
,  DDcwz,20.89,65.99,6.17,48.99,34.01,88.35,6.17
,  DDbmz,19.57,64.41,10.29,53.95,41.62,95.35,10.29
,  DDmx,17.90,61.75,1.67,45.68,27.88,86.22,1.67
CChpx,,18.61,64.44,2.38,47.34,34.37,88.97,2.38
,  DDcmp,22.04,67.71,8.65,49.38,37.71,94.06,8.65
,  DDlmr,18.61,64.44,2.38,47.34,34.37,88.97,2.38
,  DDmx,22.33,81.76,16.30,59.50,44.74,98.88,16.30
CCfnw,,18.68,62.22,1.55,46.92,28.01,88.95,1.55
,  DDkrs,18.68,62.22,1.55,46.92,28.01,88.95,1.55
,  DDgv,24.84,78.42,11.73,58.56,43.64,98.42,11.73
,  DDqz,21.34,66.36,8.48,49.63,35.97,93.62,8.48
