CC,DD,AAfnw_BBgv,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,Minimum,EE,FF
CCbt,,80.61,28.46,52.83,37.98,1.08,64.75,1.08,,
,  DDhpt,88.35,31.71,58.06,39.13,10.73,68.76,10.73,EEhpx,FFgqt
,  DDmx,80.61,28.46,52.83,37.98,1.08,64.75,1.08,EEmz,FFgqt
,  DDmpy,91.48,31.99,60.19,43.73,20.54,77.35,20.54,EEmz,FFgqt
CCkqy,,87.52,30.43,56.31,39.76,6.11,66.58,6.11,,
,  DDbsz,87.72,31.17,60.57,42.36,18.11,73.15,18.11,EEhpx,FFbpv
,  DDcwz,87.52,30.43,56.31,39.76,6.11,66.58,6.11,EEmz,FFbpv
,  DDbkv,94.54,36.85,63.90,50.05,26.47,79.99,26.47,EEmz,FFbpv
CCcy,,85.14,28.61,53.61,30.58,5.27,65.07,5.27,,
,  DDmx,92.40,32.39,58.72,42.31,21.64,78.96,21.64,EEhpx,FFlmr
,  DDbkv,85.14,28.61,53.61,30.58,5.27,65.07,5.27,EEhpx,FFlmr
,  DDbmz,88.13,31.29,58.39,40.27,15.63,72.69,15.63,EEmz,FFlmr
Minimum,,80.61,28.46,52.83,30.58,1.08,64.75,1.08,,
,  ,80.61,28.46,52.83,30.58,1.08,64.75,1.08,,
