AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,832.67
AAdk,BBtw,CCst,DDnw,706.16
AAdk,BBtw,CChv,DDrz,613.53
AAdk,BBtw,CCst,DDcl,710.37
AAdk,BBtw,CChv,DDlp,806.52
AAdk,BBtw,CCst,DDnt,235.72
AAdk,BBrv,CChv,DDnt,588.31
AAdk,BBrv,CCst,DDnw,332.29
AAdk,BBrv,CChv,DDrz,28.58
AAdk,BBrv,CCst,DDcl,748.47
AAdk,BBrv,CChv,DDlp,944.98
AAdk,BBrv,CCst,DDnt,784.02
AAdk,BBtw,CChv,DDnt,790.52
AAdk,BBtw,CCst,DDnw,503.16
AAdk,BBtw,CChv,DDrz,124.44
AAdk,BBtw,CCst,DDcl,125.0
AAdk,BBtw,CChv,DDlp,254.65
AAdk,BBtw,CCst,DDnt,63.1
