DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm
DDcjx,EEkqy,20.16,27.77,11.87,3.09,2.24,21.38,19.06
,EEmz,26.33,18.97,17.15,12.71,7.72,27.84,23.58
,EEdhv,21.15,5.80,12.31,11.73,4.70,23.54,4.25
DDmx,EEmz,18.08,15.26,9.41,7.41,0.46,5.51,19.64
,EEqz,21.19,4.03,12.25,8.12,3.12,24.47,7.46
,EEbhk,24.10,18.44,7.80,11.79,6.73,24.81,21.66
DDcy,EEbkv,19.48,16.50,8.86,7.00,1.78,26.32,19.99
,EEcrv,22.85,17.34,11.36,10.85,4.69,6.34,20.23
,EEmpy,25.52,18.51,16.93,12.53,7.42,26.72,23.59
Maximum,,26.33,27.77,17.15,12.71,7.72,27.84,23.59
