CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,Minimum,EE,FF
CCcy,,17.08,47.29,28.35,76.03,90.77,3.77,43.19,3.77,,
,  DDbkv,17.08,47.29,28.35,76.03,90.77,3.77,43.19,3.77,EEhpx,FFlmr
,  DDbmz,22.46,62.41,29.93,79.20,95.80,8.82,48.52,8.82,EEmz,FFlmr
,  DDmx,24.28,64.83,37.95,86.55,99.88,11.28,51.09,11.28,EEhpx,FFlmr
CCbt,,15.11,53.83,23.48,71.73,89.32,1.59,43.87,1.59,,
,  DDhpt,20.15,58.75,29.71,77.24,93.29,6.99,47.69,6.99,EEhpx,FFgqt
,  DDmpy,24.59,64.62,35.98,83.40,98.24,9.09,50.23,9.09,EEmz,FFgqt
,  DDmx,15.11,53.83,23.48,71.73,89.32,1.59,43.87,1.59,EEmz,FFgqt
CCkqy,,18.93,57.29,29.29,77.08,91.84,5.26,46.38,5.26,,
,  DDbkv,23.33,66.19,42.11,87.97,99.86,8.90,49.79,8.90,EEmz,FFbpv
,  DDbsz,23.44,62.00,33.05,80.61,96.94,9.92,46.64,9.92,EEhpx,FFbpv
,  DDcwz,18.93,57.29,29.29,77.08,91.84,5.26,46.38,5.26,EEmz,FFbpv
