CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,Minimum,EE,FF
CCcy,,25.27,57.68,3.41,89.07,38.50,3.41,,
,  DDbmz,28.88,68.72,6.49,92.53,44.09,6.49,EEmz,FFgqt
,  DDbkv,25.27,57.68,3.41,89.07,38.50,3.41,EEhpx,FFlmr
,  DDmx,31.37,76.05,17.39,95.46,50.39,17.39,EEhpx,FFlmr
CCkqy,,25.61,64.59,4.51,91.09,39.16,4.51,,
,  DDcwz,26.70,64.59,4.51,91.09,39.16,4.51,EEmz,FFgqt
,  DDbkv,25.61,78.33,20.17,98.67,53.55,20.17,EEmz,FFgqt
,  DDbsz,28.31,68.59,7.88,95.69,44.83,7.88,EEhpx,FFlmr
CCbt,,21.89,54.45,1.29,81.77,26.38,1.29,,
,  DDmpy,30.15,73.61,17.03,96.82,48.40,17.03,EEmz,FFgqt
,  DDhpt,26.96,65.42,5.76,92.04,40.25,5.76,EEhpx,FFlmr
,  DDmx,21.89,54.45,1.29,81.77,26.38,1.29,EEmz,FFgqt
