CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx
CChpx,DDlmr,-88.87,33.57,-60.05,63.32,7.09,-27.57,87.26
,DDcmp,-84.23,41.75,-54.19,65.38,7.15,-16.21,91.24
,DDmx,-63.47,60.85,-39.15,81.92,27.82,-1.33,-96.23
,DDdlz,-73.52,49.25,-48.93,74.40,16.14,-5.71,-1.45
CCfnw,DDknr,-70.70,59.60,-44.36,78.30,26.25,-3.51,-98.03
,DDkrs,-90.20,31.11,-59.15,62.17,5.73,-28.42,86.60
,DDgv,-82.42,46.45,-50.97,74.97,14.20,-6.72,94.26
,DDqz,-86.38,38.68,-55.26,64.19,9.63,-19.47,90.09
CCbt,DDcwz,-87.46,35.98,-60.76,61.61,8.38,-27.70,88.44
,DDbmz,-83.57,42.01,-52.02,71.06,7.46,-7.68,93.10
,DDmpy,-70.24,49.00,-47.68,76.24,17.04,-4.54,-6.48
,DDmx,-95.23,29.92,-60.97,61.44,5.43,-32.28,82.85
