CC,DD,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,Minimum
CChpx,DDmx,30.45,77.43,44.41,91.92,10.94,60.84,94.67,10.94
,DDcmp,22.67,71.98,43.92,83.35,6.88,54.51,97.75,6.88
,DDlmr,13.52,65.64,36.12,76.07,2.78,50.54,94.64,2.78
CCbt,DDmx,10.85,60.88,30.21,77.50,2.51,48.37,92.17,2.51
,DDbmz,27.32,70.07,44.48,87.67,5.95,53.02,97.60,5.95
,DDcwz,13.79,67.29,39.93,79.49,4.74,53.90,95.57,4.74
CCfnw,DDgv,29.30,76.61,45.12,88.03,9.54,59.25,98.30,9.54
,DDqz,10.68,70.66,42.71,82.85,5.47,54.87,95.06,5.47
,DDkrs,11.60,62.90,33.95,77.25,2.40,50.68,92.68,2.40
Minimum,,10.68,60.88,30.21,76.07,2.40,48.37,92.17,2.40
